triangle 108, vertex 0, index: 152, pos: p(0.676657,8.90143,-0.56989)
triangle 108, vertex 1, index: 153, pos: p(0.676554,8.90145,-0.569996)
triangle 108, vertex 2, index: 154, pos: p(0.869971,8.97967,-0.595661)
triangle 109, vertex 0, index: 155, pos: p(0.673452,8.90372,-0.573226)
triangle 109, vertex 1, index: 156, pos: p(0.673143,8.90384,-0.573545)
triangle 109, vertex 2, index: 154, pos: p(0.869971,8.97967,-0.595661)
triangle 110, vertex 0, index: 157, pos: p(0.660436,8.91141,-0.586764)
triangle 110, vertex 1, index: 158, pos: p(0.658911,8.91227,-0.588345)
triangle 110, vertex 2, index: 154, pos: p(0.869971,8.97967,-0.595661)
triangle 111, vertex 0, index: 154, pos: p(0.869971,8.97967,-0.595661)
triangle 111, vertex 1, index: 159, pos: p(0.656589,8.91339,-0.590751)
triangle 111, vertex 2, index: 160, pos: p(0.646507,8.91857,-0.601197)
triangle 112, vertex 0, index: 154, pos: p(0.869971,8.97967,-0.595661)
triangle 112, vertex 1, index: 156, pos: p(0.673143,8.90384,-0.573545)
triangle 112, vertex 2, index: 161, pos: p(0.667802,8.90733,-0.579102)
triangle 113, vertex 0, index: 150, pos: p(0.235586,10.7289,-0.957636)
triangle 113, vertex 1, index: 151, pos: p(0.949302,10.8062,-0.63194)
triangle 113, vertex 2, index: 162, pos: p(0.933866,9.75972,-0.717742)
triangle 114, vertex 0, index: 163, pos: p(0.009983,10.793,-0.979789)
triangle 114, vertex 1, index: 124, pos: p(0.285539,11.5905,-0.541803)
triangle 114, vertex 2, index: 150, pos: p(0.235586,10.7289,-0.957636)
triangle 115, vertex 0, index: 137, pos: p(-0.004775,11.6026,0.128806)
triangle 115, vertex 1, index: 139, pos: p(-0.00261,11.5957,0.120269)
triangle 115, vertex 2, index: 164, pos: p(0.0206,11.8742,0.103858)
triangle 116, vertex 0, index: 165, pos: p(0.009983,12.1702,0.034923)
triangle 116, vertex 1, index: 166, pos: p(0.24224,12.1567,-0.000146)
triangle 116, vertex 2, index: 167, pos: p(0.009983,11.9206,0.009804)
triangle 117, vertex 0, index: 164, pos: p(0.0206,11.8742,0.103858)
triangle 117, vertex 1, index: 168, pos: p(0.009983,11.5966,0.113512)
triangle 117, vertex 2, index: 141, pos: p(0.040081,11.5957,0.120269)
triangle 118, vertex 0, index: 169, pos: p(0.023547,8.88976,0.582863)
triangle 118, vertex 1, index: 144, pos: p(0.009983,8.98513,0.889923)
triangle 118, vertex 2, index: 170, pos: p(0.009983,8.89025,0.582551)
triangle 119, vertex 0, index: 144, pos: p(0.009983,8.98513,0.889923)
